ID,DENOM,TIPO,N_EDIZ,DESCRIZ,DATA_IN,ORA_IN,DATA_FINE,ORA FINE,ANNO,PROV,ISTAT,COMUNE,TOPONIMO,INDIRIZZO,CIVICO,CAP,SOMMINIS,SITO_WEB,NOME_ORG,PROGRAMMA,GEN_AUTOMATICA_PROGRAMMA,GEO_X,GEO_Y,location
17723,FIERA DELLA MADONNINA,Fiera,379,,05/09/2024,19:00,10/09/2024,23:59,2024,MN,020059,SAN MARTINO DALL'ARGINE,VIA,GONZAGA,,46010,S,,Comune di San Martino dall'argine,https://www.procedimenti.servizirl.it/sagre/public/programma/17723,SI,10.51890791,45.10211418,POINT (10.51890791 45.10211418)
17819,NATALE ALLA BRACE,Sagra,2024,,07/12/2024,08:00,08/12/2024,22:00,2024,BS,017187,TOSCOLANO MADERNO,LUNGOLAGO,DI MADERNO,,25088,S,,PRO LOCO TOSCOLANO MADERNO,https://www.procedimenti.servizirl.it/sagre/public/programma/17819,NO,10.60570154,45.6545753,POINT (10.60570154 45.6545753)
20387,FESTA DI SAN TOMASO,Sagra,2,,20/07/2024,00:00,21/07/2024,23:59,2024,SO,014070,TRESIVIO,CONTRADA,SAN TOMASO,23020,23020,S,,PRO LOCO TRESIVIO,https://www.procedimenti.servizirl.it/sagre/public/programma/20387,NO,9.95059419,46.20004271,POINT (9.95059419 46.20004271)
17679,BATTAGLIA DEI GIGANTI,Sagra,23,RIEVOCAZIONE STORICA DELLA BATTAGLIA DEI GIGANTI,14/09/2024,12:00,15/09/2024,23:59,2024,MI,015195,SAN GIULIANO MILANESE,PARCO,ZIVIDO,20098,20098,S,,COMUNE,https://www.procedimenti.servizirl.it/sagre/public/programma/17679,SI,9.2780372,45.3838531,POINT (9.2780372 45.3838531)
19622,HAPPY NEW YEAR,Sagra,13,"TRADIZIONALE BRINDISI DI MEZZANOTTE CON MUSICA DAL VIVO.UNA SERATA PER SALUTARE IL VECCHIO ANNO E DARE IL BENVENUTO AL NUOVO ANNO  CON SEMPLICITA' ED ALLEGRIA.SPUMANTE, CIOCCOLATA CALDA E DOLCI DELLA TRADIZIONE OFFERTI DALLA PRO LOCO BELLAGIO",31/12/2024,22:00,01/01/2025,02:00,2024,CO,013250,BELLAGIO,PIAZZA,DELLA CHIESA,,22021,S,,PROLOCO BELLAGIO,https://www.procedimenti.servizirl.it/sagre/public/programma/19622,SI,9.2619481,45.98761527,POINT (9.2619481 45.98761527)
18580,GARA DI SCI DI FONDO - BIATHLON,Sagra,13,Gara di Sci di Fondo - Biathlon,26/01/2024,08:00,28/01/2024,14:59,2024,SO,014071,VALDIDENTRO,LOCALITA',PISTA VIOLA ISOLACCIA,,23038,N,,Sci Club Alta Valtellina,https://www.procedimenti.servizirl.it/sagre/public/programma/18580,NO,10.28245165,46.40290389,POINT (10.28245165 46.40290389)
19899,GAMBA DAY,Sagra,2024,PROT 17762 - EVENTO TRATTENIMENTO E SOMMINISTRAZIONE ALIMENTI E BEVANDE,22/06/2024,13:00,23/06/2024,02:00,2024,BG,016079,COLOGNO AL SERIO,ZONA,IMPIANTI SPORTIVI,,24055,S,,ASS PROGETTO GAMBA,https://www.procedimenti.servizirl.it/sagre/public/programma/19899,SI,9.71159845,45.55358979,POINT (9.71159845 45.55358979)
20438,APERITIVO IN MUSICA,Sagra,1,Aperitivo all'aperto accompagnati da musica di cantautori italiani a seguire visita guidata  in notturna al parco della Gola del Tinazzo.,06/04/2024,18:30,06/04/2024,22:00,2024,BG,016065,CASTRO,VIA,CORNA LOCALITÀ BUCA DEI LADRI,snc,24063,S,prolocodicastro.it,Pro Loco di Castro,https://www.procedimenti.servizirl.it/sagre/public/programma/20438,SI,10.07444424,45.80231472,POINT (10.07444424 45.80231472)
19477,PRO LOCO IN FESTA,Sagra,1,,22/06/2024,12:00,22/06/2024,23:59,2024,VA,012047,CASTRONNO,VIA,PIAVE,21040,21040,S,,PRO LOCO CASTRONNO,https://www.procedimenti.servizirl.it/sagre/public/programma/19477,SI,8.80781904,45.74550673,POINT (8.80781904 45.74550673)
17698,48° PELLEGRINAGGIO SACRARIO S.MATTEO - VALLUMBRINA,Sagra,48,48° PELLEGRINAGGIO SACRARIO S.MATTEO - VALLUMBRINA,18/08/2024,06:00,18/08/2024,16:00,2024,SO,014073,VALFURVA,LOCALITA',PASSO GAVIA (NEI PRESSI RIFUGIO BERNI),SNC,23030,S,it-it.facebook.com/gruppoalpinivalfurva,ANA Sezione Valfurva,https://www.procedimenti.servizirl.it/sagre/public/programma/17698,SI,10.51203645,46.41529665,POINT (10.51203645 46.41529665)
19727,FESTA DEL TREPOL,Sagra,37,"Sagra popolare organizzata dal gruppo volontari manifestazioni della frazione Costa, con animazione comunitaria e stand gastronomico",14/08/2024,18:00,18/08/2024,00:00,2024,BS,017046,CAZZAGO SAN MARTINO,FRAZIONE,"VIA BARCO, AL PARCO GIOCHI - FRAZIONE COSTA",,25046,S,,GRUPPO VOLONTARI MANIFESTAZIONI COSTA,https://www.procedimenti.servizirl.it/sagre/public/programma/19727,SI,10.03234765,45.5821378,POINT (10.03234765 45.5821378)
20211,CASTAGNE IN CAMPO,Sagra,1,,13/10/2024,00:00,13/10/2024,23:59,2024,SO,014064,TARTANO,CONTRADA,CAMPO TARTANO,,23010,S,,QUINTASENSA,https://www.procedimenti.servizirl.it/sagre/public/programma/20211,SI,9.69391844,46.08609212,POINT (9.69391844 46.08609212)
